,Day,Day,ds,y,Diff_1,y_log,unique_id,SARIMA,ETS,SARIMA_noisy,ETS_noisy
0,0,1.0,2007-01-02,21.15393333333333,-24.6628,3.0518258614086635,1,,,,
1,1,2.0,2007-01-03,16.9009,-4.253033333333335,2.8273668749489302,1,,,,
2,2,3.0,2007-01-04,54.32353333333333,37.42263333333333,3.9949575277722116,1,,,,
3,3,4.0,2007-01-05,45.22273333333333,-9.1008,3.811599910253808,1,,,,
4,4,5.0,2007-01-06,25.13963333333333,-20.0831,3.2244456180650207,1,,,,
5,5,6.0,2007-01-07,40.79366666666667,15.654033333333334,3.7085268406027154,1,,,,
6,6,7.0,2007-01-08,37.356,-3.437666666666665,3.6204935412474715,1,,,,
7,7,8.0,2007-01-09,31.1509,-6.205100000000002,3.438843137271942,1,,,,
8,8,9.0,2007-01-10,35.913333333333334,4.762433333333334,3.581108628584278,1,,,,
9,9,10.0,2007-01-11,37.58656666666666,1.673233333333329,3.6266467170563486,1,,,,
10,10,11.0,2007-01-12,24.35493333333333,-13.231633333333328,3.192734429966044,1,,,,
11,11,12.0,2007-01-13,53.11356666666666,28.75863333333333,3.9724323883960873,1,,,,
12,12,13.0,2007-01-14,50.13026666666666,-2.9833,3.9146249507638897,1,,,,
13,13,14.0,2007-01-15,35.8113,-14.318966666666668,3.5782634860601545,1,,,,
14,14,15.0,2007-01-16,28.10673333333333,-7.704566666666661,3.336009168038638,1,,,,
15,15,16.0,2007-01-17,47.46146666666667,19.35473333333333,3.8599181537468668,1,,,,
16,16,17.0,2007-01-18,30.3577,-17.103766666666665,3.4130501920819216,1,,,,
17,17,18.0,2007-01-19,24.674,-5.683700000000002,3.205750057649273,1,,,,
18,18,19.0,2007-01-20,52.22886666666667,27.55486666666667,3.955635343316874,1,,,,
19,19,20.0,2007-01-21,56.7877,4.558833333333332,4.039319752981147,1,,,,
20,20,21.0,2007-01-22,36.34156666666667,-20.44613333333333,3.592962173394472,1,,,,
21,21,22.0,2007-01-23,29.627333333333336,-6.714233333333336,3.388697358660318,1,,,,
22,22,23.0,2007-01-24,49.79756666666666,20.170233333333325,3.907966120721688,1,,,,
23,23,24.0,2007-01-25,26.605733333333333,-23.191833333333328,3.281126731409611,1,,,,
24,24,25.0,2007-01-26,26.9662,0.3604666666666674,3.294584229931394,1,,,,
25,25,26.0,2007-01-27,34.06786666666667,7.101666666666667,3.5283546135300305,1,,,,
26,26,27.0,2007-01-28,51.503400000000006,17.43553333333334,3.9416478249079803,1,,,,
27,27,28.0,2007-01-29,33.0444,-18.459000000000003,3.4978521116990184,1,,,,
28,28,29.0,2007-01-30,28.4633,-4.581100000000003,3.348615538153401,1,,,,
29,29,30.0,2007-01-31,39.39586666666666,10.932566666666665,3.673660903863376,1,,,,
30,30,31.0,2007-02-01,30.412666666666667,-8.983199999999997,3.414859188297392,1,,,,
31,31,32.0,2007-02-02,27.7956,-2.617066666666666,3.324877734788743,1,,,,
32,32,33.0,2007-02-03,67.16203333333334,39.36643333333334,4.207108107708944,1,,,,
33,33,34.0,2007-02-04,59.93233333333333,-7.229700000000008,4.0932161480244265,1,,,,
34,34,35.0,2007-02-05,27.421333333333333,-32.511,3.31132129925878,1,,,,
35,35,36.0,2007-02-06,21.224666666666668,-6.196666666666665,3.055164027323403,1,,,,
36,36,37.0,2007-02-07,38.8003,17.575633333333332,3.658427978558099,1,,,,
37,37,38.0,2007-02-08,30.023566666666667,-8.776733333333333,3.4019826288304387,1,,,,
38,38,39.0,2007-02-09,27.003300000000003,-3.0202666666666644,3.295959080758024,1,,,,
39,39,40.0,2007-02-10,47.15546666666667,20.152166666666663,3.8534499443876946,1,,,,
40,40,41.0,2007-02-11,59.52046666666667,12.365000000000002,4.086320230995892,1,,,,
41,41,42.0,2007-02-12,31.2935,-28.226966666666677,3.4434104082485493,1,,,,
42,42,43.0,2007-02-13,23.575766666666667,-7.717733333333332,3.16021934831595,1,,,,
43,43,44.0,2007-02-14,41.644533333333335,18.06876666666667,3.729170107497488,1,,,,
44,44,45.0,2007-02-15,33.0891,-8.555433333333333,3.499203923014223,1,,,,
45,45,46.0,2007-02-16,28.375466666666668,-4.713633333333334,3.345524922068676,1,,,,
46,46,47.0,2007-02-17,34.615199999999994,6.239733333333327,3.5442928919552728,1,,,,
47,47,48.0,2007-02-18,63.82936666666667,29.21416666666668,4.156213377029593,1,,,,
48,48,49.0,2007-02-19,36.44356666666667,-27.385800000000003,3.5957649453920135,1,,,,
49,49,50.0,2007-02-20,52.4988,16.055233333333327,3.9607903121934926,1,,,,
50,50,51.0,2007-02-21,34.5479,-17.950899999999997,3.5423467668902884,1,,,,
51,51,52.0,2007-02-22,56.15796666666667,21.61006666666667,4.028168552984227,1,,,,
52,52,53.0,2007-02-23,21.89133333333333,-34.26663333333333,3.0860908202934696,1,,,,
53,53,54.0,2007-02-24,11.915366666666667,-9.975966666666665,2.47782888361197,1,,,,
54,54,55.0,2007-02-25,8.362333333333334,-3.553033333333333,2.1237374950115915,1,,,,
55,55,56.0,2007-02-26,9.474733333333337,1.112400000000001,2.2486286063332077,1,,,,
56,56,57.0,2007-02-27,8.6352,-0.8395333333333355,2.155846872882241,1,,,,
57,57,58.0,2007-02-28,8.679566666666666,0.0443666666666668,2.16097160423097,1,,,,
58,58,59.0,2007-03-01,8.626066666666667,-0.0534999999999996,2.154788626768319,1,,,,
59,59,60.0,2007-03-02,8.5948,-0.0312666666666672,2.151157369221436,1,,,,
60,60,61.0,2007-03-03,13.652033333333332,5.057233333333333,2.6138884726861717,1,,,,
61,61,62.0,2007-03-04,34.845,21.192966666666667,3.550909654890482,1,,,,
62,62,63.0,2007-03-05,44.33886666666667,9.49386666666667,3.791861643795346,1,,,,
63,63,64.0,2007-03-06,20.775,-23.56386666666667,3.033750340741512,1,,,,
64,64,65.0,2007-03-07,39.58676666666667,18.81176666666667,3.6784948873273238,1,,,,
65,65,66.0,2007-03-08,26.2022,-13.384566666666668,3.265843376707462,1,,,,
66,66,67.0,2007-03-09,21.2102,-4.992000000000001,3.0544821980465136,1,,,,
67,67,68.0,2007-03-10,41.41186666666667,20.201666666666668,3.7235674742200073,1,,,,
68,68,69.0,2007-03-11,58.0106,16.59873333333333,4.060625752468787,1,,,,
69,69,70.0,2007-03-12,32.51113333333333,-25.499466666666663,3.48158259477657,1,,,,
70,70,71.0,2007-03-13,21.5024,-11.008733333333332,3.068164556810663,1,,,,
71,71,72.0,2007-03-14,29.8894,8.387,3.3975039024911573,1,,,,
72,72,73.0,2007-03-15,31.413566666666668,1.524166666666666,3.4472398590513835,1,,,,
73,73,74.0,2007-03-16,28.36756666666667,-3.046,3.3452464737874696,1,,,,
74,74,75.0,2007-03-17,33.8015,5.433933333333329,3.5205051802024925,1,,,,
75,75,76.0,2007-03-18,39.51743333333333,5.715933333333332,3.6767419247516897,1,,,,
76,76,77.0,2007-03-19,35.8753,-3.642133333333327,3.5800490364141586,1,,,,
